Centrality Measure,BA,Reg,ER,Lobster,WS,SUSC,Cycle,Grid,Ladder,Hyper
LN,0.673,0.651,0.704,0.056,0.209,0.431,0.007,0.281,0.024,0.599
WDeg,0.92,0.839,0.923,0.195,0.305,0.575,0.039,0.435,0.096,0.642
BC-CD,NAN,NAN,NAN,0.043,0.123,NAN,0.006,0.118,0.016,NAN
ABC-CD,0.747,0.671,0.736,0.047,0.139,0.449,0.007,0.151,0.017,0.521
ABC-WSP,0.989,0.667,0.639,0.216,0.245,NAN,0.04,0.248,0.053,0.575
EC-CD,0.706,0.653,0.706,0.059,0.194,0.431,0.006,0.26,0.04,0.517
EC-WMat,0.966,0.98,1,0.172,0.658,0.636,0.032,0.597,0.374,0.79
EC-C*,0.706,0.653,0.708,0.06,0.193,0.431,0.006,0.284,0.046,0.526
CfBC-CD,0.881,0.823,0.854,0.263,0.589,0.53,1,0.615,0.929,0.762
CfBC-WEdge,1,0.866,0.801,0.227,0.501,NAN,0.031,0.371,0.198,0.735
CfBC-WSup,0.988,1,0.997,1,1,0.631,1,1,1,1
CfBC-C*,0.905,0.796,0.744,0.154,0.519,NAN,0.017,0.226,0.106,0.664
GND,0.805,0.799,0.779,0.121,0.178,1,0.016,0.372,0.043,0.319
