Centrality Measure,BA,Reg,ER,Lobster,WS,SUSC,Cycle,Grid,Ladder,Hyper
LN,0.673,0.663,0.683,0.024,0.234,0.424,0.003,0.251,0.014,0.591
WDeg,0.973,0.85,0.917,0.103,0.372,0.574,0.02,0.45,0.046,0.664
BC-CD,NAN,NAN,NAN,0.02,NAN,NAN,0.003,NAN,0.009,NAN
ABC-CD,0.759,0.681,0.705,0.022,0.115,0.437,0.003,0.106,0.009,0.518
ABC-WSP,NAN,NAN,NAN,0.078,0.248,NAN,0.014,0.227,0.016,0.575
EC-CD,0.717,0.666,0.689,0.028,0.253,0.431,0.003,0.281,0.023,0.524
EC-WMat,1,1,1,0.096,0.522,0.624,0.019,0.578,0.42,0.835
EC-C*,0.717,0.666,0.69,0.028,0.251,0.431,0.003,0.282,0.036,0.535
CfBC-CD,NAN,NAN,NAN,0.632,0.489,0.14,1,0.562,0.932,0.759
CfBC-WEdge,NAN,NAN,NAN,0.089,0.241,NAN,0.014,0.435,0.049,NAN
CfBC-WSup,NAN,NAN,NAN,1,1,0.31,1,1,1,1
CfBC-C*,NAN,NAN,NAN,0.055,0.368,NAN,0.008,0.354,0.053,NAN
GND,0.619,0.883,0.844,0.115,0.17,1,0.008,0.368,0.087,NAN
